name,address,district,province,postalcode,tel
Prince Palace Hotel Bangkok - SHA Extra Plus,"488/800 Bo Bae Tower, Damrongrak Road, Mahanak, Pomprab Sattrupai, 10100 ",ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,02-6281111
Ibis Hua Hin,"73/15, Soi Moobaan Nongkea, Prachuap Khirikhan, Khao Takiab, 77110 Hua Hin, Thailand",หัวหิน,ประจวบคีรีขันธ์,77110,03-2610388
Patravana Resort,"88/1 Moo 5, Mittraphap Rd., Phaya Yen, Pak Chong, Nakhon Ratchasima, 30130 Phayayen, Thailand",ปากช่อง,นครราชสีมา,30130,08-85041888
The Peri Hotel Khao Yai,"329 Pansuk-Kudkla Rd., Phayayen, Nakorn Ratchasrima, 30130 Phayayen, Thailand",ปากช่อง,นครราชสีมา,30130,06-31964999
SP Home BangSaen,"58 ,ThanonBang Saen Sai 2 Road,San Sook, Mueang,Chonburi., 20130 Bangsaen, Thailand",เมือง,ชลบุรี,20130,08-97484572 
